기준일자,신규보증취급구분,고객분류,여부구분,기업수
2016-06-01,보증취급,혁신선도영역,전체,53
2016-06-01,보증취급,혁신선도영역,여,18
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,글로벌선도영역,전체,22
2016-06-01,보증취급,글로벌선도영역,여,20
2016-06-01,보증취급,글로벌선도영역,부,2
2016-06-01,보증취급,글로벌선도영역,전체,6
2016-06-01,보증취급,글로벌선도영역,여,2
2016-06-01,보증취급,글로벌선도영역,부,4
2016-06-01,보증취급,경쟁력향상기업,전체,3
2016-06-01,보증취급,경쟁력향상기업,부,3
2016-06-01,보증취급,경쟁력향상기업,전체,13
2016-06-01,보증취급,경쟁력향상기업,여,13
2016-06-01,보증취급,성숙기기업,전체,138
2016-06-01,보증취급,성숙기기업,여,132
2016-06-01,보증취급,성숙기기업,부,6
2016-06-01,보증취급,기타일반기업,전체,88
2016-06-01,보증취급,기타일반기업,여,88
2016-06-01,보증취급,구조조정기업,전체,3
2016-06-01,보증취급,구조조정기업,여,3
2016-06-01,보증취급,선별지원기업,전체,26
2016-06-01,보증취급,선별지원기업,여,25
2016-06-01,보증취급,선별지원기업,부,1
2016-06-01,보증취급,영세소기업,전체,186
2016-06-01,보증취급,영세소기업,여,181
2016-06-01,보증취급,영세소기업,부,5
2016-06-01,보증취급,시장안정기능,전체,2
2016-06-01,보증취급,시장안정기능,부,2
2016-06-01,보증취급,시장안정기능,전체,4
2016-06-01,보증취급,시장안정기능,여,4
2016-06-01,보증취급,성장잠재기업,전체,268
2016-06-01,보증취급,성장잠재기업,여,176
2016-06-01,보증취급,성장잠재기업,부,92
2016-06-01,보증취급,사회공익기업,전체,1
2016-06-01,보증취급,사회공익기업,부,1
2016-06-01,보증취급,창업초기기업,전체,117
2016-06-01,보증취급,창업초기기업,여,77
2016-06-01,보증취급,창업초기기업,부,42
2016-06-01,보증취급,시장선도영역,전체,36
2016-06-01,보증취급,시장선도영역,여,35
2016-06-01,보증취급,시장선도영역,부,1
2016-06-01,보증취급,시장선도영역,전체,78
2016-06-01,보증취급,시장선도영역,여,67
2016-06-01,보증취급,시장선도영역,부,11
2016-06-01,보증취급,혁신선도영역,전체,160
2016-06-01,보증취급,혁신선도영역,여,125
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,혁신선도영역,전체,53
2016-06-01,보증취급,혁신선도영역,여,18
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,글로벌선도영역,전체,22
2016-06-01,보증취급,글로벌선도영역,여,20
2016-06-01,보증취급,글로벌선도영역,부,2
